10,"[[1160.3162841796875, 67.73260498046875, 1279.4129638671875, 385.8284606933594]]"
11,"[[933.5305786132812, 330.8825378417969, 966.2849731445312, 354.4101257324219], [920.4141235351562, 327.7701416015625, 955.0142211914062, 352.53607177734375], [911.3770751953125, 326.4189758300781, 946.12255859375, 352.6452331542969], [895.3291625976562, 327.96923828125, 930.0226440429688, 354.3450927734375]]"
12,"[[226.04605102539062, 656.6551513671875, 1080.1861572265625, 718.559326171875], [190.59942626953125, 656.6050415039062, 1066.555908203125, 718.9169311523438], [214.93646240234375, 656.1052856445312, 1077.652587890625, 719.9312133789062], [192.662109375, 656.4190673828125, 1059.2601318359375, 719.57177734375], [196.54910278320312, 656.590087890625, 1048.0260009765625, 719.2247314453125], [220.47256469726562, 656.36328125, 1071.98681640625, 719.809814453125], [226.7178955078125, 656.559814453125, 1073.1844482421875, 719.08740234375], [199.98165893554688, 657.1608276367188, 1050.7510986328125, 719.0298461914062], [198.41830444335938, 656.651123046875, 1044.1884765625, 719.0135498046875], [220.2415771484375, 656.2958984375, 1076.8251953125, 719.4520263671875], [221.38235473632812, 657.5867919921875, 1072.421142578125, 719.321044921875], [192.79135131835938, 657.5693359375, 1057.5157470703125, 718.8133544921875], [222.51873779296875, 657.24853515625, 1083.212158203125, 719.466552734375], [210.38546752929688, 645.6310424804688, 1085.8834228515625, 719.0671997070312], [216.82513427734375, 643.4857177734375, 1087.839111328125, 719.7716064453125], [213.63790893554688, 644.1925659179688, 1084.12109375, 720.0], [217.78509521484375, 657.4452514648438, 1078.24609375, 719.4443969726562], [225.1407470703125, 658.2788696289062, 1078.105224609375, 719.2560424804688], [195.84234619140625, 657.849609375, 1039.700439453125, 718.913818359375], [221.38714599609375, 657.8141479492188, 1081.855224609375, 720.0], [221.26394653320312, 657.32763671875, 1086.209716796875, 720.0], [221.18173217773438, 658.2421264648438, 1080.478759765625, 720.0], [217.64544677734375, 657.7144775390625, 1083.3818359375, 720.0], [216.26101684570312, 646.039794921875, 1089.170654296875, 720.0], [223.54470825195312, 658.1723022460938, 1083.24755859375, 720.0], [224.07077026367188, 657.8612060546875, 1082.91064453125, 720.0], [229.23504638671875, 657.5814208984375, 1078.80322265625, 719.93115234375], [221.88107299804688, 658.3855590820312, 1084.225830078125, 720.0], [229.9356689453125, 659.0560913085938, 1085.556884765625, 720.0], [237.7025146484375, 658.0648803710938, 1072.8175048828125, 719.6090698242188], [230.12509155273438, 658.329833984375, 1072.052490234375, 719.6673583984375], [199.82131958007812, 660.0866088867188, 1043.518798828125, 720.0], [226.44387817382812, 658.8104858398438, 1079.392333984375, 720.0], [253.72500610351562, 659.4915771484375, 1075.5478515625, 720.0], [253.80096435546875, 659.4754028320312, 1074.103271484375, 720.0], [337.31591796875, 659.9948120117188, 1080.85693359375, 719.4402465820312], [245.8876953125, 660.0756225585938, 1073.66455078125, 720.0], [237.182373046875, 659.488525390625, 1080.8719482421875, 720.0], [234.370361328125, 659.984375, 1082.6259765625, 720.0], [228.64816284179688, 660.199951171875, 1077.69384765625, 720.0], [226.75985717773438, 658.1021728515625, 1085.0419921875, 720.0]]"
13,"[[873.0498046875, 329.3428955078125, 906.83251953125, 353.6103515625]]"
14,"[[974.1240234375, 305.676025390625, 991.3538818359375, 358.0177001953125]]"
15,"[[839.3526000976562, 325.7399597167969, 870.1688842773438, 349.6165466308594]]"
16,"[[926.3998413085938, 298.0146179199219, 943.6930541992188, 350.8005065917969]]"
17,"[[815.1368408203125, 322.00433349609375, 847.577392578125, 346.3160400390625]]"
18,"[[1157.0787353515625, 358.094970703125, 1279.5487060546875, 481.28729248046875], [1143.8768310546875, 354.0588073730469, 1280.0, 476.9443664550781], [1095.443359375, 345.89520263671875, 1273.22998046875, 420.79962158203125], [1145.599609375, 350.9944152832031, 1279.61474609375, 485.5024719238281], [1079.5533447265625, 346.3182678222656, 1275.2628173828125, 428.0122985839844], [1141.4080810546875, 353.57025146484375, 1279.1571044921875, 490.4981689453125], [1073.01123046875, 346.9537048339844, 1274.171630859375, 432.9931945800781], [1135.16796875, 351.105712890625, 1278.554931640625, 490.65570068359375], [1065.4757080078125, 346.41156005859375, 1273.6837158203125, 435.11505126953125], [1133.9681396484375, 350.84588623046875, 1279.7032470703125, 492.47015380859375], [1054.0224609375, 345.6043701171875, 1268.722900390625, 439.56451416015625], [1132.232666015625, 354.3359680175781, 1280.0, 493.59307861328125], [1053.10400390625, 345.0240783691406, 1274.715576171875, 442.8349304199219], [1130.289306640625, 356.8354187011719, 1279.19921875, 496.10748291015625], [1033.5238037109375, 344.8946228027344, 1269.3519287109375, 437.3629455566406], [1031.1666259765625, 344.2038269042969, 1271.7867431640625, 442.7131042480469], [1030.640625, 342.8884582519531, 1265.71337890625, 444.8425598144531], [1021.4071044921875, 343.1103515625, 1261.7467041015625, 447.4219970703125], [1016.2490234375, 341.7128601074219, 1257.125244140625, 452.1845397949219], [1003.545166015625, 341.4796447753906, 1259.230712890625, 453.5773620605469], [997.5985717773438, 341.039794921875, 1253.9736328125, 457.4366455078125], [994.3323974609375, 339.6290283203125, 1259.2254638671875, 464.6480712890625], [999.313720703125, 340.2919921875, 1265.479736328125, 467.36083984375], [996.1673583984375, 341.7325439453125, 1264.3284912109375, 468.62774658203125], [992.634765625, 340.40289306640625, 1271.385986328125, 471.01861572265625], [991.80078125, 339.95001220703125, 1269.80419921875, 473.98052978515625], [990.0372314453125, 340.139892578125, 1277.3282470703125, 481.569580078125], [990.2178955078125, 339.3414611816406, 1277.5255126953125, 483.6845397949219], [990.0626831054688, 338.9659118652344, 1275.011962890625, 487.3136901855469], [992.2689208984375, 338.69769287109375, 1277.8389892578125, 488.6690673828125], [993.5303955078125, 336.4942626953125, 1279.3809814453125, 493.43414306640625], [997.3981323242188, 335.2435302734375, 1278.6805419921875, 498.5479736328125], [1006.2282104492188, 333.15838623046875, 1279.2061767578125, 507.10028076171875], [1021.9391479492188, 333.9508361816406, 1279.2030029296875, 521.9647216796875], [1027.8809814453125, 333.8165283203125, 1279.4854736328125, 526.4591674804688], [1034.46337890625, 333.92047119140625, 1278.83837890625, 529.2758178710938], [1049.9580078125, 332.1142883300781, 1279.013671875, 536.466552734375], [1068.4102783203125, 330.28515625, 1279.7720947265625, 544.7578125], [1075.981689453125, 332.54010009765625, 1279.6923828125, 523.2005615234375], [1091.8411865234375, 333.176513671875, 1279.3094482421875, 529.1404418945312], [1114.6767578125, 330.46112060546875, 1278.831787109375, 528.7653198242188], [1139.361328125, 324.5416564941406, 1279.7900390625, 532.651611328125], [1165.5020751953125, 330.4327087402344, 1279.9310302734375, 539.9979248046875], [1202.417724609375, 343.80755615234375, 1279.83447265625, 541.9002075195312], [1242.249267578125, 406.3798828125, 1279.647705078125, 532.9421997070312]]"
19,"[[891.1378173828125, 293.2788391113281, 907.200439453125, 348.9796447753906], [927.260498046875, 318.76483154296875, 941.8682861328125, 360.76153564453125]]"
