10,"[[132.30947875976562, 141.36671447753906, 161.77377319335938, 171.36492919921875], [132.30947875976562, 141.36671447753906, 161.77377319335938, 171.36492919921875], [132.30947875976562, 141.36671447753906, 161.77377319335938, 171.36492919921875], [132.30947875976562, 141.36671447753906, 161.77377319335938, 171.36492919921875]]"
11,"[[840.4033203125, 219.46102905273438, 850.4598999023438, 230.1974334716797], [840.4033203125, 219.46102905273438, 850.4598999023438, 230.1974334716797]]"
12,"[[582.8236694335938, 202.0915069580078, 597.9490356445312, 239.71824645996094], [549.94287109375, 211.24612426757812, 562.59521484375, 236.73878479003906], [582.8236694335938, 202.0915069580078, 597.9490356445312, 239.71824645996094], [549.94287109375, 211.24612426757812, 562.59521484375, 236.73878479003906]]"
13,"[[740.4660034179688, 245.5181121826172, 767.4380493164062, 264.1036376953125], [740.4660034179688, 245.5181121826172, 767.4380493164062, 264.1036376953125], [730.8703002929688, 244.79319763183594, 757.6588134765625, 263.4123229980469], [730.8703002929688, 244.79319763183594, 757.6588134765625, 263.4123229980469], [730.8703002929688, 244.79319763183594, 757.6588134765625, 263.4123229980469], [720.4749755859375, 243.06326293945312, 746.9141235351562, 260.3480224609375], [720.4749755859375, 243.06326293945312, 746.9141235351562, 260.3480224609375], [710.2276000976562, 242.30142211914062, 736.0618896484375, 259.214599609375], [710.2276000976562, 242.30142211914062, 736.0618896484375, 259.214599609375], [710.2276000976562, 242.30142211914062, 736.0618896484375, 259.214599609375], [710.2276000976562, 242.30142211914062, 736.0618896484375, 259.214599609375]]"
14,"[[916.7352294921875, 264.0326843261719, 940.8167114257812, 316.5260925292969], [916.7352294921875, 264.0326843261719, 940.8167114257812, 316.5260925292969], [916.7352294921875, 264.0326843261719, 940.8167114257812, 316.5260925292969], [913.4579467773438, 262.284912109375, 940.9680786132812, 325.30621337890625], [913.4579467773438, 262.284912109375, 940.9680786132812, 325.30621337890625], [905.858154296875, 261.38421630859375, 941.67041015625, 326.4393615722656], [905.858154296875, 261.38421630859375, 941.67041015625, 326.4393615722656], [905.858154296875, 261.38421630859375, 941.67041015625, 326.4393615722656], [905.858154296875, 261.38421630859375, 941.67041015625, 326.4393615722656], [896.4066772460938, 261.3705139160156, 941.14599609375, 328.9490661621094], [896.4066772460938, 261.3705139160156, 941.14599609375, 328.9490661621094], [896.4066772460938, 261.3705139160156, 941.14599609375, 328.9490661621094], [889.7271118164062, 255.58168029785156, 941.1649169921875, 326.82470703125], [889.7271118164062, 255.58168029785156, 941.1649169921875, 326.82470703125], [889.7271118164062, 255.58168029785156, 941.1649169921875, 326.82470703125], [883.7488403320312, 252.92080688476562, 940.9004516601562, 318.5201416015625], [883.7488403320312, 252.92080688476562, 940.9004516601562, 318.5201416015625], [876.2286987304688, 252.5594482421875, 940.8092041015625, 326.4572448730469], [876.2286987304688, 252.5594482421875, 940.8092041015625, 326.4572448730469], [876.2286987304688, 252.5594482421875, 940.8092041015625, 326.4572448730469], [876.2286987304688, 252.5594482421875, 940.8092041015625, 326.4572448730469], [866.5494995117188, 255.64083862304688, 940.4910888671875, 328.5495910644531], [866.5494995117188, 255.64083862304688, 940.4910888671875, 328.5495910644531], [863.7132568359375, 254.79466247558594, 940.6266479492188, 331.6317138671875], [863.7132568359375, 254.79466247558594, 940.6266479492188, 331.6317138671875], [863.7132568359375, 254.79466247558594, 940.6266479492188, 331.6317138671875], [855.3667602539062, 255.46737670898438, 940.155517578125, 333.4853210449219], [855.3667602539062, 255.46737670898438, 940.155517578125, 333.4853210449219], [855.3667602539062, 255.46737670898438, 940.155517578125, 333.4853210449219], [841.7496948242188, 253.90696716308594, 938.2954711914062, 308.16937255859375], [873.8185424804688, 261.044677734375, 940.8650512695312, 338.630615234375], [841.7496948242188, 253.90696716308594, 938.2954711914062, 308.16937255859375], [873.8185424804688, 261.044677734375, 940.8650512695312, 338.630615234375], [841.7496948242188, 253.90696716308594, 938.2954711914062, 308.16937255859375], [873.8185424804688, 261.044677734375, 940.8650512695312, 338.630615234375], [837.0914916992188, 253.51051330566406, 939.566650390625, 310.36932373046875], [867.9985961914062, 259.8988037109375, 941.3269653320312, 339.2806701660156], [837.0914916992188, 253.51051330566406, 939.566650390625, 310.36932373046875], [867.9985961914062, 259.8988037109375, 941.3269653320312, 339.2806701660156], [837.0914916992188, 253.51051330566406, 939.566650390625, 310.36932373046875], [867.9985961914062, 259.8988037109375, 941.3269653320312, 339.2806701660156], [862.11669921875, 258.9111633300781, 941.0828247070312, 337.565673828125], [839.398681640625, 252.1417694091797, 936.1561279296875, 295.8639221191406], [862.11669921875, 258.9111633300781, 941.0828247070312, 337.565673828125], [839.398681640625, 252.1417694091797, 936.1561279296875, 295.8639221191406], [858.541015625, 257.8231506347656, 940.6559448242188, 339.0559387207031], [828.42578125, 250.3249969482422, 937.9984130859375, 308.01470947265625], [858.541015625, 257.8231506347656, 940.6559448242188, 339.0559387207031], [828.42578125, 250.3249969482422, 937.9984130859375, 308.01470947265625], [858.541015625, 257.8231506347656, 940.6559448242188, 339.0559387207031], [828.42578125, 250.3249969482422, 937.9984130859375, 308.01470947265625], [856.0361328125, 258.9399108886719, 940.4970092773438, 340.81683349609375], [820.5496826171875, 249.58775329589844, 937.84765625, 310.14501953125], [856.0361328125, 258.9399108886719, 940.4970092773438, 340.81683349609375], [820.5496826171875, 249.58775329589844, 937.84765625, 310.14501953125], [856.0361328125, 258.9399108886719, 940.4970092773438, 340.81683349609375], [820.5496826171875, 249.58775329589844, 937.84765625, 310.14501953125], [856.0361328125, 258.9399108886719, 940.4970092773438, 340.81683349609375], [820.5496826171875, 249.58775329589844, 937.84765625, 310.14501953125], [853.9362182617188, 256.4144592285156, 940.6350708007812, 341.41046142578125], [815.3665771484375, 248.9086151123047, 939.5245971679688, 307.30657958984375], [853.9362182617188, 256.4144592285156, 940.6350708007812, 341.41046142578125], [815.3665771484375, 248.9086151123047, 939.5245971679688, 307.30657958984375], [853.9362182617188, 256.4144592285156, 940.6350708007812, 341.41046142578125], [815.3665771484375, 248.9086151123047, 939.5245971679688, 307.30657958984375], [848.6779174804688, 253.45191955566406, 941.3248291015625, 340.8908996582031], [806.5264282226562, 249.17428588867188, 937.176025390625, 305.64923095703125], [848.6779174804688, 253.45191955566406, 941.3248291015625, 340.8908996582031], [806.5264282226562, 249.17428588867188, 937.176025390625, 305.64923095703125], [848.6779174804688, 253.45191955566406, 941.3248291015625, 340.8908996582031], [806.5264282226562, 249.17428588867188, 937.176025390625, 305.64923095703125], [850.3975830078125, 255.1997528076172, 940.739990234375, 346.6016845703125], [798.9383544921875, 250.2601776123047, 935.0540771484375, 306.1661071777344], [850.3975830078125, 255.1997528076172, 940.739990234375, 346.6016845703125], [798.9383544921875, 250.2601776123047, 935.0540771484375, 306.1661071777344], [850.3975830078125, 255.1997528076172, 940.739990234375, 346.6016845703125], [798.9383544921875, 250.2601776123047, 935.0540771484375, 306.1661071777344], [792.8076782226562, 249.74330139160156, 934.5338745117188, 314.1028137207031], [844.88037109375, 254.7138214111328, 941.1738891601562, 349.9722900390625], [792.8076782226562, 249.74330139160156, 934.5338745117188, 314.1028137207031], [844.88037109375, 254.7138214111328, 941.1738891601562, 349.9722900390625], [792.8076782226562, 249.74330139160156, 934.5338745117188, 314.1028137207031], [844.88037109375, 254.7138214111328, 941.1738891601562, 349.9722900390625], [838.3482666015625, 251.7364959716797, 940.6001586914062, 353.70428466796875], [788.9107666015625, 249.35096740722656, 932.3294677734375, 317.09576416015625], [838.3482666015625, 251.7364959716797, 940.6001586914062, 353.70428466796875], [788.9107666015625, 249.35096740722656, 932.3294677734375, 317.09576416015625], [838.3482666015625, 251.7364959716797, 940.6001586914062, 353.70428466796875], [788.9107666015625, 249.35096740722656, 932.3294677734375, 317.09576416015625], [836.2439575195312, 252.38235473632812, 940.823486328125, 357.1189880371094], [784.2171020507812, 249.31326293945312, 933.9047241210938, 320.1987609863281], [836.2439575195312, 252.38235473632812, 940.823486328125, 357.1189880371094], [784.2171020507812, 249.31326293945312, 933.9047241210938, 320.1987609863281], [837.0635375976562, 256.3298645019531, 940.9827270507812, 359.9385986328125], [778.0529174804688, 249.08700561523438, 933.77392578125, 322.59100341796875], [837.0635375976562, 256.3298645019531, 940.9827270507812, 359.9385986328125], [778.0529174804688, 249.08700561523438, 933.77392578125, 322.59100341796875], [837.0635375976562, 256.3298645019531, 940.9827270507812, 359.9385986328125], [778.0529174804688, 249.08700561523438, 933.77392578125, 322.59100341796875], [837.0635375976562, 256.3298645019531, 940.9827270507812, 359.9385986328125], [778.0529174804688, 249.08700561523438, 933.77392578125, 322.59100341796875], [773.5919799804688, 248.3207550048828, 934.7199096679688, 321.55218505859375], [773.5919799804688, 248.3207550048828, 934.7199096679688, 321.55218505859375], [773.5919799804688, 248.3207550048828, 934.7199096679688, 321.55218505859375], [772.7354125976562, 248.20704650878906, 935.2349243164062, 321.4979248046875], [772.7354125976562, 248.20704650878906, 935.2349243164062, 321.4979248046875], [772.7354125976562, 248.20704650878906, 935.2349243164062, 321.4979248046875], [772.7354125976562, 248.20704650878906, 935.2349243164062, 321.4979248046875], [772.7354125976562, 248.20704650878906, 935.2349243164062, 321.4979248046875], [772.7354125976562, 248.20704650878906, 935.2349243164062, 321.4979248046875], [772.7354125976562, 248.20704650878906, 935.2349243164062, 321.4979248046875], [761.8583374023438, 247.2733917236328, 932.0372314453125, 325.28973388671875], [761.8583374023438, 247.2733917236328, 932.0372314453125, 325.28973388671875], [759.6724243164062, 246.89447021484375, 932.8983764648438, 325.9207458496094], [759.6724243164062, 246.89447021484375, 932.8983764648438, 325.9207458496094], [759.6724243164062, 246.89447021484375, 932.8983764648438, 325.9207458496094], [752.9415893554688, 245.80816650390625, 930.9559326171875, 326.6454162597656], [752.9415893554688, 245.80816650390625, 930.9559326171875, 326.6454162597656], [752.9415893554688, 245.80816650390625, 930.9559326171875, 326.6454162597656], [752.9415893554688, 245.80816650390625, 930.9559326171875, 326.6454162597656], [734.9534912109375, 244.87344360351562, 930.4016723632812, 326.8291320800781], [734.9534912109375, 244.87344360351562, 930.4016723632812, 326.8291320800781], [730.032958984375, 245.2779998779297, 931.5228271484375, 331.5709533691406], [730.032958984375, 245.2779998779297, 931.5228271484375, 331.5709533691406], [730.032958984375, 245.2779998779297, 931.5228271484375, 331.5709533691406], [730.032958984375, 245.2779998779297, 931.5228271484375, 331.5709533691406], [736.11328125, 245.024658203125, 931.381591796875, 338.7885437011719], [736.11328125, 245.024658203125, 931.381591796875, 338.7885437011719], [736.11328125, 245.024658203125, 931.381591796875, 338.7885437011719], [736.11328125, 245.024658203125, 931.381591796875, 338.7885437011719], [736.9782104492188, 244.3104248046875, 932.6427001953125, 340.52081298828125], [735.776123046875, 246.3804168701172, 931.7431640625, 340.0692138671875], [735.776123046875, 246.3804168701172, 931.7431640625, 340.0692138671875], [735.776123046875, 246.3804168701172, 931.7431640625, 340.0692138671875], [735.776123046875, 246.3804168701172, 931.7431640625, 340.0692138671875], [733.5343017578125, 245.18699645996094, 934.9223022460938, 341.404541015625], [733.5343017578125, 245.18699645996094, 934.9223022460938, 341.404541015625], [732.8255004882812, 244.8672637939453, 936.2711791992188, 343.6791076660156], [732.8255004882812, 244.8672637939453, 936.2711791992188, 343.6791076660156], [732.8255004882812, 244.8672637939453, 936.2711791992188, 343.6791076660156], [732.8255004882812, 244.8672637939453, 936.2711791992188, 343.6791076660156], [732.8255004882812, 244.8672637939453, 936.2711791992188, 343.6791076660156], [731.9924926757812, 245.22764587402344, 938.0984497070312, 350.06109619140625], [731.750732421875, 244.88409423828125, 937.861572265625, 351.2843322753906], [731.750732421875, 244.88409423828125, 937.861572265625, 351.2843322753906], [731.750732421875, 244.88409423828125, 937.861572265625, 351.2843322753906], [730.8112182617188, 244.8317413330078, 936.9932250976562, 353.36474609375], [730.8112182617188, 244.8317413330078, 936.9932250976562, 353.36474609375], [730.8112182617188, 244.8317413330078, 936.9932250976562, 353.36474609375], [734.2247924804688, 244.0585174560547, 938.5723266601562, 356.8785095214844], [734.2247924804688, 244.0585174560547, 938.5723266601562, 356.8785095214844], [734.2247924804688, 244.0585174560547, 938.5723266601562, 356.8785095214844], [737.2163696289062, 243.11199951171875, 936.6065673828125, 358.64373779296875], [737.2163696289062, 243.11199951171875, 936.6065673828125, 358.64373779296875], [737.2163696289062, 243.11199951171875, 936.6065673828125, 358.64373779296875], [737.1618041992188, 242.07736206054688, 939.9984741210938, 362.49517822265625], [734.5684204101562, 242.55421447753906, 929.4691772460938, 358.9505615234375], [737.1618041992188, 242.07736206054688, 939.9984741210938, 362.49517822265625], [734.5684204101562, 242.55421447753906, 929.4691772460938, 358.9505615234375], [737.1618041992188, 242.07736206054688, 939.9984741210938, 362.49517822265625], [734.5684204101562, 242.55421447753906, 929.4691772460938, 358.9505615234375], [737.1618041992188, 242.07736206054688, 939.9984741210938, 362.49517822265625], [734.5684204101562, 242.55421447753906, 929.4691772460938, 358.9505615234375], [737.1618041992188, 242.07736206054688, 939.9984741210938, 362.49517822265625], [734.5684204101562, 242.55421447753906, 929.4691772460938, 358.9505615234375], [742.87890625, 240.50009155273438, 939.7887573242188, 369.1957092285156], [746.01416015625, 239.55584716796875, 933.3642578125, 367.25390625], [742.87890625, 240.50009155273438, 939.7887573242188, 369.1957092285156], [746.01416015625, 239.55584716796875, 933.3642578125, 367.25390625], [742.87890625, 240.50009155273438, 939.7887573242188, 369.1957092285156], [746.01416015625, 239.55584716796875, 933.3642578125, 367.25390625], [742.87890625, 240.50009155273438, 939.7887573242188, 369.1957092285156], [746.01416015625, 239.55584716796875, 933.3642578125, 367.25390625], [742.87890625, 240.50009155273438, 939.7887573242188, 369.1957092285156], [746.01416015625, 239.55584716796875, 933.3642578125, 367.25390625], [758.672607421875, 239.9463653564453, 939.4324340820312, 380.119384765625], [758.672607421875, 239.9463653564453, 939.4324340820312, 380.119384765625], [760.6243896484375, 240.37222290039062, 940.0352172851562, 382.5233459472656], [764.5555419921875, 240.69662475585938, 940.2802124023438, 384.6426696777344], [764.5555419921875, 240.69662475585938, 940.2802124023438, 384.6426696777344], [764.5555419921875, 240.69662475585938, 940.2802124023438, 384.6426696777344], [774.8619995117188, 239.19113159179688, 939.5382690429688, 377.99383544921875], [774.8619995117188, 239.19113159179688, 939.5382690429688, 377.99383544921875], [789.2763061523438, 237.66445922851562, 938.7601928710938, 378.3340148925781], [789.2763061523438, 237.66445922851562, 938.7601928710938, 378.3340148925781], [789.2763061523438, 237.66445922851562, 938.7601928710938, 378.3340148925781], [799.1761474609375, 238.24203491210938, 940.643798828125, 378.72265625], [799.1761474609375, 238.24203491210938, 940.643798828125, 378.72265625], [799.1761474609375, 238.24203491210938, 940.643798828125, 378.72265625], [799.1761474609375, 238.24203491210938, 940.643798828125, 378.72265625], [808.132568359375, 240.65213012695312, 940.0932006835938, 382.9949951171875], [808.132568359375, 240.65213012695312, 940.0932006835938, 382.9949951171875], [808.132568359375, 240.65213012695312, 940.0932006835938, 382.9949951171875], [823.8834838867188, 236.27938842773438, 939.5034790039062, 382.7181091308594], [823.8834838867188, 236.27938842773438, 939.5034790039062, 382.7181091308594], [842.343994140625, 234.02081298828125, 939.2764892578125, 382.71697998046875], [842.343994140625, 234.02081298828125, 939.2764892578125, 382.71697998046875], [842.343994140625, 234.02081298828125, 939.2764892578125, 382.71697998046875], [862.380615234375, 241.3003692626953, 941.2454223632812, 392.3116149902344], [862.380615234375, 241.3003692626953, 941.2454223632812, 392.3116149902344], [862.380615234375, 241.3003692626953, 941.2454223632812, 392.3116149902344], [887.3574829101562, 262.2325744628906, 940.3563232421875, 397.4913330078125], [887.3574829101562, 262.2325744628906, 940.3563232421875, 397.4913330078125], [887.3574829101562, 262.2325744628906, 940.3563232421875, 397.4913330078125], [918.1556396484375, 298.504638671875, 941.7189331054688, 382.5643005371094], [918.1556396484375, 298.504638671875, 941.7189331054688, 382.5643005371094], [918.1556396484375, 298.504638671875, 941.7189331054688, 382.5643005371094], [918.1556396484375, 298.504638671875, 941.7189331054688, 382.5643005371094]]"
15,"[[64.93566131591797, 221.274658203125, 79.50507354736328, 261.89605712890625], [64.93566131591797, 221.274658203125, 79.50507354736328, 261.89605712890625], [64.93566131591797, 221.274658203125, 79.50507354736328, 261.89605712890625]]"
16,"[[309.8876037597656, 168.4181365966797, 326.4916687011719, 198.990478515625], [309.8876037597656, 168.4181365966797, 326.4916687011719, 198.990478515625], [309.8876037597656, 168.4181365966797, 326.4916687011719, 198.990478515625]]"
17,"[[774.9304809570312, 221.25131225585938, 788.587890625, 262.4234313964844], [774.9304809570312, 221.25131225585938, 788.587890625, 262.4234313964844], [774.9304809570312, 221.25131225585938, 788.587890625, 262.4234313964844]]"
18,"[[535.4117431640625, 192.92373657226562, 551.973876953125, 231.31362915039062], [535.4117431640625, 192.92373657226562, 551.973876953125, 231.31362915039062], [535.4117431640625, 192.92373657226562, 551.973876953125, 231.31362915039062]]"
19,"[[734.2623901367188, 207.46731567382812, 752.799072265625, 258.34368896484375], [734.2623901367188, 207.46731567382812, 752.799072265625, 258.34368896484375]]"
